name	party	state	id
DELEGADO PABLO	PSL	Amazonas	40
DELEGADO WALDIR	PSL	Goiás	421
DELEGADO ÉDER MAURO	PSD	Pará	22
DENIS BEZERRA	PSB	Ceará	91
DIEGO ANDRADE	PSD	Minas Gerais	228
DIEGO GARCIA	Podemos	Paraná	447
DIMAS FABIANO	PP	Minas Gerais	231
DOMINGOS NETO	PSD	Ceará	97
DOMINGOS SÁVIO	PSDB	Minas Gerais	233
DR. FREDERICO	Patriota	Minas Gerais	229
DR. GONÇALO	Republica	Maranhão	548
DR. JAZIEL	PL	Ceará	92
DR. LEONARDO	Solidarie	Mato Grosso	402
DR. LUIZ ANTONIO TEIXEIRA JR.	PP	Rio de Janeiro	298
DR. LUIZ OVANDO	PSL	Mato Grosso do Sul	435
DR. ZACHARIAS CALIL	DEM	Goiás	420
DRA. SORAYA MANATO	PSL	Espírito Santo	277
DRA. VANDA MILANI	Solidarie	Acre	59
DULCE MIRANDA	MDB	Tocantins	61
EDILÁZIO JÚNIOR	PSD	Maranhão	73
EDIO LOPES	PL	Roraima	2
EDNA HENRIQUE	PSDB	Paraíba	130
EDUARDO BARBOSA	PSDB	Minas Gerais	230
EDUARDO BISMARCK	PDT	Ceará	93
EDUARDO BOLSONARO	PSL	São Paulo	352
EDUARDO COSTA	PTB	Pará	28
EDUARDO CURY	PSDB	São Paulo	353
EDUARDO DA FONTE	PP	Pernambuco	156
EFRAIM FILHO	DEM	Paraíba	128
ELCIONE BARBALHO	MDB	Pará	21
ELI BORGES	Solidarie	Tocantins	63
ELI CORRÊA FILHO	DEM	São Paulo	345
ELIAS VAZ	PSB	Goiás	423
ELMAR NASCIMENTO	DEM	Bahia	198
EMANUEL PINHEIRO NETO	PTB	Mato Grosso	403
EMIDINHO MADEIRA	PSB	Minas Gerais	234
ENIO VERRI	PT	Paraná	449
ENRICO MISASI	PV	São Paulo	357
ERIKA KOKAY	PT	Distrito Federal	407
EROS BIONDINI	PROS	Minas Gerais	242
EUCLYDES PETTERSEN	PSC	Minas Gerais	240
EVAIR VIEIRA DE MELO	PP	Espírito Santo	274
EXPEDITO NETTO	PSD	Rondonia	44
FABIO REIS	MDB	Sergipe	178
FABIO SCHIOCHET	PSL	Santa Catarina	479
FAUSTO PINATO	PP	São Paulo	355
FELIPE CARRERAS	PSB	Pernambuco	145
FELIPE FRANCISCHINI	PSL	Paraná	446
FELIPE RIGONI	PSB	Espírito Santo	278
FELÍCIO LATERÇA	PSL	Rio de Janeiro	299
FERNANDA MELCHIONNA	PSOL	Rio Grande do Sul	496
FERNANDO COELHO FILHO	DEM	Pernambuco	158
FERNANDO MONTEIRO	PP	Pernambuco	146
FERNANDO RODOLFO	PL	Pernambuco	147
FILIPE BARROS	PSL	Paraná	450
FLAVIANO MELO	MDB	Acre	54
FLORDELIS	PSD	Rio de Janeiro	300
FLÁVIA MORAIS	PDT	Goiás	422
FLÁVIO NOGUEIRA	PDT	Piauí	110
FRANCISCO JR.	PSD	Goiás	424
FRANCO CARTAFINA	PP	Minas Gerais	241
FRED COSTA	Patriota	Minas Gerais	244
FREI ANASTACIO RIBEIRO	PT	Paraíba	131
FÁBIO HENRIQUE	PDT	Sergipe	175
FÁBIO MITIDIERI	PSD	Sergipe	177
FÁBIO RAMALHO	MDB	Minas Gerais	238
FÁBIO TRAD	PSD	Mato Grosso do Sul	436
FÉLIX MENDONÇA JÚNIOR	PDT	Bahia	195
GASTÃO VIEIRA	PROS	Maranhão	539
GELSON AZEVEDO	PL	Rio de Janeiro	301
GENECIAS NORONHA	Solidarie	Ceará	99
GENERAL GIRÃO	PSL	Rio Grande do Norte	122
GENERAL PETERNELLI	PSL	São Paulo	358
GENINHO ZULIANI	DEM	São Paulo	361
GEOVANIA DE SÁ	PSDB	Santa Catarina	482
GERVÁSIO MAIA	PSB	Paraíba	133
GIACOBO	PL	Paraná	466
GIL CUTRIM	Republica	Maranhão	77
GILBERTO ABRAMO	Republica	Minas Gerais	246
GILSON MARQUES	Novo	Santa Catarina	480
GIOVANI CHERINI	PL	Rio Grande do Sul	502
GIOVANI FELTES	MDB	Rio Grande do Sul	494
GLAUBER BRAGA	PSOL	Rio de Janeiro	304
GLAUSTIN DA FOKUS	PSC	Goiás	426
GLEISI HOFFMANN	PT	Paraná	451
GONZAGA PATRIOTA	PSB	Pernambuco	143
GORETE PEREIRA	PL	Ceará	565
GREYCE ELIAS	Avante	Minas Gerais	248
GUIGA PEIXOTO	PSL	São Paulo	363
GUILHERME DERRITE	PP	São Paulo	344
GUILHERME MUSSI	PP	São Paulo	348
GURGEL	PSL	Rio de Janeiro	321
GUSTAVO FRUET	PDT	Paraná	452
GUSTINHO RIBEIRO	Solidarie	Sergipe	181
GUTEMBERG REIS	MDB	Rio de Janeiro	302
HAROLDO CATHEDRAL	PSD	Roraima	1
HEITOR FREIRE	PSL	Ceará	94
HEITOR SCHUCH	PSB	Rio Grande do Sul	504
HELDER SALOMÃO	PT	Espírito Santo	279
HELIO LOPES	PSL	Rio de Janeiro	303
HENRIQUE FONTANA	PT	Rio Grande do Sul	498
HERCULANO PASSOS	MDB	São Paulo	362
HERCÍLIO COELHO DINIZ	MDB	Minas Gerais	254
HERMES PARCIANELLO	MDB	Paraná	448
HILDO ROCHA	MDB	Maranhão	74
HIRAN GONÇALVES	PP	Roraima	4
HUGO LEAL	PSD	Rio de Janeiro	306
HUGO MOTTA	Republica	Paraíba	132
HÉLIO COSTA	Republica	Santa Catarina	484
HÉLIO LEITE	DEM	Pará	32
IDILVAN ALENCAR	PDT	Ceará	95
IGOR KANNÁRIO	DEM	Bahia	197
IGOR TIMO	Podemos	Minas Gerais	255
IRACEMA PORTELLA	PP	Piauí	113
ISNALDO BULHÕES JR.	MDB	Alagoas	165
IVAN VALENTE	PSOL	São Paulo	359
JANDIRA FEGHALI	PCdoB	Rio de Janeiro	305
JAQUELINE CASSOL	PP	Rondonia	47
JEFFERSON CAMPOS	PSB	São Paulo	349
JERÔNIMO GOERGEN	PP	Rio Grande do Sul	505
JESUS SÉRGIO	PDT	Acre	52
JHONATAN DE JESUS	Republica	Roraima	5
JOAQUIM PASSARINHO	PSD	Pará	33
JOENIA WAPICHANA	Rede	Roraima	3
JOICE HASSELMANN	PSL	São Paulo	364
JORGE BRAZ	Republica	Rio de Janeiro	518
JORGE SOLLA	PT	Bahia	204
JOSE MARIO SCHREINER	DEM	Goiás	427
JOSEILDO RAMOS	PT	Bahia	537
JOSIMAR MARANHÃOZINHO	PL	Maranhão	78
JOSIVALDO JP	Podemos	Maranhão	568
JOSÉ AIRTON FÉLIX CIRILO	PT	Ceará	101
JOSÉ GUIMARÃES	PT	Ceará	103
JOSÉ MEDEIROS	Podemos	Mato Grosso	404
JOSÉ NELTO	Podemos	Goiás	428
JOSÉ NUNES	PSD	Bahia	201
JOSÉ PRIANTE	MDB	Pará	26
JOSÉ RICARDO	PT	Amazonas	41
JOSÉ ROCHA	PL	Bahia	203
JOÃO CAMPOS	Republica	Goiás	418
